token_index,token,alternative_index,perturbation,disagreement,disagreement_percent
0,Let's,0,think step-by-step.,3,60.0
0,Let's,1,We should think step-by-step.,2,40.0
0,Let's,2,Allow us to think step-by-step.,2,40.0
0,Let's,3,We can think step-by-step.,2,40.0
0,Let's,4,We could think step-by-step.,2,40.0
0,Let's,5,We might think step-by-step.,1,20.0
1,think,0,Let's contemplate step-by-step.,2,40.0
1,think,1,Let's reflect step-by-step.,3,60.0
1,think,2,Let's analyze step-by-step.,3,60.0
1,think,3,Let's ponder step-by-step.,3,60.0
2,step-by-step.,0,Let's think,2,40.0
2,step-by-step.,1,Let's think methodically.,3,60.0
